,,,,,,CO2 (MtCO2) proximity mileage brackets (to top 20),,,,,,,,,,,,,,,,,,,,,
Key,Country,Group,Year,Ave Temperature,CO2 (MtCO2),1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,Population,GDP-USD (M US$ (2010)),Smoking Rate,Fertility Rate,Electricity production from Fossil Fuel,Electricity from Nuclear,Govt spend on education as % of GDP,Forest area (sq km),Passenger Road Transport M per km
1986Angola,Angola,Rest,1986,22.03625,5.4624,5.4624,222.7952,0,752.2848,3007.8259,0,4264.1638,4917.2681,1549.9789,0,0,0,0,10921037,7183.415176,,7.366,13.02729529,,6.0545,,
1986Argentina,Argentina,Rest,1986,15.33475,99.5446,99.5446,189.1395,0,0,476.0026,4519.0824,395.34,2969.9729,391.2052,538.9719,2369.6931,2864.9091,0,30857244,36747.13985,,3.073,45.25437218,11.65438851,1.26155,,
1986Armenia,Armenia,Rest,1986,9.306833333,14.382,277.4446,1951.8038,3725.7979,1789.7651,1075.144,722.8408,4519.0824,666.8201,0,0,0,0,0,3392256,3373.636874,,2.578,,,,,
1986Australia,Australia,Top20,1986,22.09325,224.4732,224.4732,0,104.7056,0,3299.1754,0,2870.3774,113.3161,2472.2086,5630.0604,0,0,0,16018400,,,1.868,88.06610621,,5.27372,,187054
1986Austria,Austria,Rest,1986,6.316916667,53.9053,2799.405,113.3161,277.8891,2803.9594,2185.1051,6006.1611,357.913,0,224.4732,0,0,0,0,7569794,289102.7451,,1.45,26.25008527,,5.49996,,64491
1986Azerbaijan,Azerbaijan,Rest,1986,11.87225,65.5764,328.639,1951.8038,3725.7979,1789.7651,1075.144,722.8408,4519.0824,666.8201,0,0,0,0,0,6778633,351.5492025,,2.9,,,,,7490
1986Bahamas,Bahamas,Rest,1986,25.66533333,1.4106,1.4106,4772.2898,395.34,189.1395,1948.3162,797.1835,2483.0092,1575.8283,2224.0314,0,329.1788,0,0,239131,2813.373992,,2.789,,,,,
1986Bahrain,Bahrain,Rest,1986,26.32558333,9.77,287.6591,547.5824,2176.8977,4728.0602,501.2133,901.4315,619.8132,4708.2219,253.2074,0,0,0,0,433482,263.4627227,,4.245,100,,,,
1986Bangladesh,Bangladesh,Rest,1986,25.29425,8.6666,442.9329,1789.7651,3827.4318,113.3161,2401.3709,791.3972,395.34,0,4519.0824,442.3469,0,0,0,95742431,8132.091172,,5.298,90.625,,1.34349,,
1986Barbados,Barbados,Rest,1986,26.65958333,0.916,0.916,189.1395,4772.2898,395.34,2309.3958,549.42,350.9378,2519.4396,3125.4629,173.7125,0,329.1788,0,256736,3296.828452,,1.805,,,,,
1986Belarus,Belarus,Rest,1986,5.95275,103.2703,1565.8519,1545.9807,2497.8357,2224.0314,1470.484,4741.8776,547.0525,0,224.4732,0,0,0,0,10043000,1151606.274,,2.09,,,,,17033
1986Belgium,Belgium,Rest,1986,9.264,104.1089,2849.6086,113.3161,277.8891,2369.6931,7138.4538,1740.2861,0,104.7056,0,224.4732,0,0,0,9861823,35093.76978,,1.54,30.20947224,68.36743548,4.82646,,77408
1986Belize,Belize,Rest,1986,25.38233333,0.2052,0.2052,4772.2898,395.34,189.1395,0,2309.3958,2805.797,1014.7476,2464.1619,658.7395,104.7056,0,0,169568,2727.049967,,4.886,,,,,
1986Benin,Benin,Rest,1986,27.34591667,0.5602,0.5602,0,1982.2525,1377.2476,189.1395,434.2663,9327.088,278.4181,901.4315,224.4732,0,0,0,4404506,1533.528459,,6.942,100,,,,
1986Bhutan,Bhutan,Rest,1986,11.99366667,0.055,2224.0864,0,3827.4318,549.42,2533.869,222.7952,395.34,4519.0824,253.2074,189.1395,0,0,0,482952,,,6.23,,,,,
1986Bolivia,Bolivia,Rest,1986,21.48258333,4.5154,193.6549,0,0,253.2074,4519.0824,971.3717,2392.2632,241.4587,149.7465,3028.4326,2864.9091,104.7056,0,6337893,17904.3455,,5.215,38.08487486,,,,
1986Botswana,Botswana,Rest,1986,22.30833333,1.73,224.5252,0,0,128.1426,1411.645,2220.3231,2118.9439,2543.4056,5420.5139,648.5474,0,0,0,1226810,910255.5624,,5.239,100,,5.18593,,
1986Brazil,Brazil,Top20,1986,25.131,189.1395,189.1395,0,0,0,4995.085,2704.7358,549.42,277.8891,2369.6931,658.7395,2864.9091,104.7056,0,138499464,273.6273804,,3.358,8.099817937,0.071241985,,,
1986Bulgaria,Bulgaria,Rest,1986,10.69783333,86.0296,2023.0069,1199.7276,0,2803.9594,1789.7651,6212.3616,547.0525,0,224.4732,0,0,0,0,8958171,1428.101792,,2.02,65.57627929,28.86178862,,,30133
1986Burkina Faso,Burkina Faso,Rest,1986,28.29783333,0.48,0.48,0,2858.8158,689.8238,0,4953.3487,4808.0056,278.4181,901.4315,224.4732,0,0,0,7930694,2719.132138,,7.119,,,,,
1986Burundi,Burundi,Rest,1986,20.38958333,0.2345,0.2345,222.7952,391.2052,2611.164,568.602,4453.3033,398.1857,901.4315,5167.6298,0,0,0,0,4841565,60674.96865,,7.509,,,,,
1986Cambodia,Cambodia,Rest,1986,26.80683333,0.4324,0.4324,2328.737,1075.144,2872.0554,113.3161,1823.6612,1144.6337,395.34,4519.0824,253.2074,189.1395,0,0,7958976,616800.939,,6.226,,,,,
1986Cameroon,Cameroon,Rest,1986,24.50691667,8.646,8.646,0,1178.57,2180.9301,623.4058,2369.6931,6704.1875,1433.057,224.4732,0,0,0,0,10368300,123121.1411,,6.667,1.89669088,,2.84834,,
1986Canada,Canada,Top20,1986,-4.843916667,395.34,395.34,4519.0824,253.2074,568.602,4546.5908,3167.3647,277.8891,434.2663,329.1788,222.7952,0,0,0,26204000,337.6823904,,1.675,18.08131865,15.21245395,6.04419,,
1986Cape Verde,Cape Verde,Rest,1986,24.19075,0.0586,0.0586,0,1472.0576,1575.8977,5019.7667,648.5474,2803.9594,1789.7651,1075.144,104.7056,224.4732,0,0,320183,24309.84338,,5.784,,,,,
1986Central African Republic,Central African Republic,Rest,1986,25.50566667,0.1612,0.1612,128.1426,1200.1739,2465.4499,0,4348.5977,278.4181,6040.3271,253.2074,0,0,0,0,2696982,12553.52971,,5.926,,,2.20775,,
1986Chad,Chad,Rest,1986,27.55616667,0.1869,0.1869,602.5383,2534.1666,657.0615,0,4348.5977,5192.8405,1154.6389,224.4732,0,0,0,0,5243006,,,7.161,,,,,
1986Chile,Chile,Rest,1986,9.8375,20.9345,20.9345,189.1395,0,0,253.2074,4741.8776,395.34,2533.869,677.5626,254.4521,3705.3909,173.7125,1789.7651,12384108,45217.5661,,2.654,17.86489419,,,,
1986China,China,Top20,1986,6.870166667,1789.7651,1789.7651,3879.1034,254.4521,241.4587,2969.9729,395.34,222.7952,4772.2898,0,0,189.1395,0,0,1066790000,9097.175342,,2.675,78.9713701,,2.06155,,
1986Colombia,Colombia,Rest,1986,25.01308333,44.1929,44.1929,0,4961.4293,395.34,0,2309.3958,658.8991,2611.1518,1051.178,2397.7439,224.4732,104.7056,0,31669776,,,3.32,26.99286442,,,,
1986Comoros,Comoros,Rest,1986,26.0115,0.044,0.044,222.7952,128.1426,697.3289,2281.6033,2582.8403,3633.9766,0,395.34,4519.0824,253.2074,0,0,365760,223809.6042,,6.842,,,,,
1986Congo Dem Republic,Congo Dem Republic,Rest,1986,23.98133333,3.2198,3.2198,222.7952,128.1426,2439.9603,1002.8683,1978.9046,2474.3987,6214.0396,253.2074,0,0,0,0,30685824,,,6.679,2.719200888,,0.7225,,
1986Costa Rica,Costa Rica,Rest,1986,26.02566667,2.3348,2.3348,253.2074,4708.2219,395.34,0,1948.3162,797.1835,2705.8044,1353.0331,2014.2383,434.2663,104.7056,0,2800986,263.9925114,,3.371,1.627670397,,3.5658,,
1986Croatia,Croatia,Rest,1986,11.404,20.9302,2197.8279,681.9181,277.8891,2803.9594,2185.1051,6006.1611,357.913,0,224.4732,0,0,0,0,4722000,16699.04241,,1.76,,,,,8276
1986Cuba,Cuba,Rest,1986,25.87258333,34.3951,34.3951,4772.2898,395.34,189.1395,1948.3162,797.1835,2483.0092,1402.1158,1963.4776,434.2663,329.1788,0,0,10168087,34375.65963,,1.836,90.55859138,,,,
1986Cyprus,Cyprus,Rest,1986,19.28441667,3.4587,116.7748,2454.7868,1002.8683,4159.4582,222.7952,1575.1896,4708.2219,477.6806,0,0,0,0,0,712341,74775.16952,,2.456,100,,3.48897,,
1986Czech Republic,Czech Republic,Rest,1986,7.682583333,178.7064,2924.2061,113.3161,277.8891,2803.9594,2185.1051,5817.0216,547.0525,0,224.4732,0,0,0,0,10342227,10249.49505,,1.92,86.75873676,10.14586015,,,
1986Denmark,Denmark,Rest,1986,-17.61658333,63.0936,2447.5137,474.3957,277.8891,2765.0331,6743.1138,1328.3514,516.6403,0,224.4732,0,0,0,0,5120534,208.3953087,,1.48,99.33079947,,5.83825,,53859
1986Djibouti,Djibouti,Rest,1986,28.79791667,0.3774,128.52,263.0626,795.3459,2607.2153,4264.1638,173.7125,1315.0442,395.34,4519.0824,253.2074,0,0,0,454361,,,6.28,,,,,
1986Dominica,Dominica,Rest,1986,26.35808333,0.0476,0.0476,0,4961.4293,395.34,2745.4997,113.3161,350.9378,2519.4396,3299.1754,0,0,329.1788,0,73025,,,,,,,,
1986Dominican Republic,Dominican Republic,Rest,1986,25.93208333,7.6013,7.6013,4519.0824,442.3469,395.34,2309.3958,436.1039,2483.0092,500.6843,2864.9091,434.2663,224.4732,104.7056,0,6626542,8507.314753,,3.783,66.81303443,,,,
1986Ecuador,Ecuador,Rest,1986,22.0715,14.3363,14.3363,189.1395,4772.2898,0,395.34,921.8385,2046.4564,113.3161,2647.5822,1299.6172,2224.0314,104.7056,0,9272906,1989.656494,,4.123,19.95211492,,6.87238,,
1986Egypt,Egypt,Rest,1986,22.90183333,71.1581,312.6168,1973.4077,921.8385,657.0615,4159.4582,278.4181,6004.9934,477.6806,0,0,0,0,0,51607703,144979.4475,,5.294,72.26571838,,,,
1986El Salvador,El Salvador,Rest,1986,25.15325,1.8398,1.8398,4772.2898,0,584.4795,0,1948.3162,797.1835,3607.2359,2241.3667,658.7395,104.7056,0,0,4988943,1653088.332,,4.322,4.009575105,,,,
1986Equatorial Guinea,Equatorial Guinea,Rest,1986,24.90241667,0.0806,0.0806,0,712.0174,2647.4827,623.4058,0,4159.4582,5446.0479,1125.9047,0,0,0,0,376024,9915.910505,,5.962,,,,,
1986Eritrea,Eritrea,Rest,1986,26.70208333,,128.1426,263.0626,2257.9275,1144.6337,4159.4582,278.4181,1315.0442,4914.4224,253.2074,0,0,0,0,2837111,402.753171,,6.597,,,,,
1986Estonia,Estonia,Rest,1986,4.887083333,31.2168,1493.7984,1396.2342,2647.5822,2224.0314,1470.484,4519.0824,769.8477,0,224.4732,0,0,0,0,1540190,20020.29263,,2.18,,,,,4400
1986Ethiopia,Ethiopia,Rest,1986,23.19325,1.7756,1.7756,277.8891,1131.4572,2384.4201,4159.4582,278.4181,1315.0442,395.34,4519.0824,253.2074,0,0,0,42120730,2233582.943,,7.418,21.63934426,,2.13795,,
1986Fiji,Fiji,Rest,1986,25.01475,0.6046,0.6046,0,224.4732,0,1179.8496,0,9327.088,434.2663,561.6812,1246.1646,1740.7938,0,0,718548,10023.36752,,3.568,,,,,
1986Finland,Finland,Rest,1986,1.177416667,49.1472,1511.7288,1396.2342,2647.5822,2619.3714,5594.2264,253.2074,516.6403,0,224.4732,0,0,0,0,4918154,186808.6563,,1.6,36.16693054,38.68590915,5.09658,,53700
1986France,France,Top20,1986,12.87166667,353.2365,2745.4997,113.3161,277.8891,2369.6931,7138.4538,838.8546,901.4315,104.7056,0,224.4732,0,0,0,57132691,378.9393183,,1.85,11.93350584,70.48642023,4.6892,,554527
1986Gabon,Gabon,Rest,1986,24.2965,4.0481,4.0481,0,712.0174,2647.4827,623.4058,0,4159.4582,5446.0479,1125.9047,0,0,0,0,853027,17249.17296,,5.654,21.95945946,,,,
1986Gambia,Gambia,Rest,1986,27.74483333,0.1612,0.1612,0,2309.3958,1089.4973,149.7465,5167.6298,2803.9594,1789.7651,1179.8496,0,224.4732,0,0,766589,2093.182838,,6.19,,,3.48473,,
1986Georgia,Georgia,Rest,1986,8.797166667,25.5368,288.5994,1951.8038,3725.7979,1789.7651,1075.144,722.8408,4519.0824,666.8201,0,0,0,0,0,4704500,1221.151172,,2.269,,,,,8505
1986Germany,Germany,Top20,1986,8.085083333,1026.4777,2745.4997,113.3161,277.8891,2369.6931,7138.4538,1740.2861,104.7056,0,224.4732,0,0,0,0,77720436,,,1.43,70.58946404,25.00685111,,,563800
1986Ghana,Ghana,Rest,1986,26.89191667,2.3399,2.3399,0,714.3161,2834.3235,0,434.2663,9327.088,278.4181,901.4315,224.4732,0,0,0,13104296,6604.214489,,6.032,0.681508405,,3.35448,,
1986Greece,Greece,Rest,1986,15.1365,61.0265,971.5261,2226.2053,0,2803.9594,2012.5603,6178.7059,357.913,0,224.4732,0,0,0,0,9967213,,,1.6,88.4973688,,1.83337,,19379
1986Grenada,Grenada,Rest,1986,26.88891667,0.066,0.066,189.1395,4772.2898,395.34,2309.3958,436.1039,464.2539,2519.4396,3125.4629,173.7125,0,329.1788,0,100143,7242.301922,,4.2,,,,,
1986Guatemala,Guatemala,Rest,1986,23.397,2.6424,255.8498,4519.0824,395.34,189.1395,0,1948.3162,797.1835,3384.4407,2464.1619,658.7395,104.7056,0,0,8438604,366094.3665,,5.757,4.266321913,,,,
1986Guinea,Guinea,Rest,1986,25.5275,0.9966,0.9966,0,714.3161,2684.577,149.7465,5348.6887,2622.9005,1789.7651,1179.8496,224.4732,0,0,0,5229797,242227.8859,,6.637,,,,,
1986Guyana,Guyana,Rest,1986,26.29183333,1.0442,1.0442,189.1395,0,4772.2898,1317.1785,2046.4564,241.4587,2519.4396,0,3299.1754,224.4732,104.7056,0,764459,181816.849,,3.263,,,,,
1986Haiti,Haiti,Rest,1986,26.66341667,0.8646,0.8646,4772.2898,189.1395,395.34,1948.3162,797.1835,2483.0092,500.6843,2864.9091,434.2663,224.4732,104.7056,0,6527543,42648.45743,,5.921,23.7020316,,,,
1986Honduras,Honduras,Rest,1986,24.9495,1.8795,1.8795,4772.2898,0,584.4795,0,2309.3958,436.1039,3607.2359,2241.3667,658.7395,104.7056,0,0,4410158,65364.49197,,5.553,3.054989817,,,,
1986Hungary,Hungary,Rest,1986,9.776666667,80.1963,2370.4101,568.602,277.8891,2803.9594,2185.1051,5817.0216,547.0525,0,224.4732,0,0,0,0,10630564,80940.59304,,1.84,72.82639681,26.45381984,,,69567
1986Iceland,Iceland,Rest,1986,1.545,1.755,570.357,1815.8181,869.7357,7166.6646,2042.9725,1698.5498,222.7952,104.7056,0,224.4732,0,0,0,243180,1542883.463,,1.92,0.121536218,,,,
1986India,India,Top20,1986,24.2945,434.2663,434.2663,1939.5116,346.1643,3880.941,2533.869,222.7952,0,395.34,4519.0824,442.3469,0,0,0,799181436,17310.9892,,4.399,71.13168048,2.462114712,,,
1986Indonesia,Indonesia,Top20,1986,26.05716667,104.7056,104.7056,0,3523.6486,0,2647.5822,113.3161,2046.4564,921.8385,395.34,4772.2898,0,189.1395,0,168402025,8259.818653,,3.606,73.02506792,,,,
1986Iran,Iran,Top20,1986,17.70066667,149.7465,277.8891,547.5824,3966.6628,2938.2951,1402.6448,0,619.8132,4708.2219,253.2074,0,0,0,0,49256842,3773795.833,,6.014,81.917683,,3.56991,,
1986Iraq,Iraq,Rest,1986,22.32433333,59.1211,450.3263,797.1835,2382.5825,4159.4582,396.5077,1006.1371,4914.4224,666.8201,0,0,0,0,0,15936375,9845.51093,,6.164,97.30784762,,,,
1986Ireland,Ireland,Rest,1986,8.733333333,28.1562,1976.4724,797.1835,113.3161,3042.9222,4953.3487,3307.256,222.7952,104.7056,0,224.4732,0,0,0,3539690,,,2.44,92.53270496,,5.29487,,
1986Israel,Israel,Rest,1986,19.99816667,27.7459,269.2046,1973.4077,1356.1048,4159.4582,222.7952,1575.1896,4708.2219,477.6806,0,0,0,0,0,4299000,17735.49088,,3.034,99.96257952,,6.13041,,
1986Italy,Italy,Top20,1986,13.13283333,361.0796,2176.8977,681.9181,277.8891,2369.6931,2619.3714,5104.7296,1259.3445,0,224.4732,0,0,0,0,56596155,128.9037571,,1.35,71.65779931,4.636438233,4.6703,,465186
1986Ivory Coast,Ivory Coast,Rest,1986,26.12183333,3.4647,3.4647,0,714.3161,2684.577,149.7465,4953.3487,4808.0056,0,1179.8496,224.4732,0,0,0,10620267,,,6.984,35.78721118,,,,
1986Jamaica,Jamaica,Rest,1986,26.32091667,4.5409,4.5409,4772.2898,189.1395,395.34,921.8385,1823.6612,2483.0092,500.6843,2864.9091,434.2663,224.4732,104.7056,0,2361720,3787.773946,,3.223,88.38559814,,4.60398,,
1986Japan,Japan,Top20,1986,11.69141667,901.4315,1075.144,1789.7651,2474.3987,434.2663,374.2197,2667.9823,5486.6059,0,222.7952,0,189.1395,0,0,121492000,1671.62782,,1.72,60.72352422,25.07867633,,,499843
1986Jordan,Jordan,Rest,1986,19.74175,9.134,250.5927,1973.4077,1356.1048,4159.4582,222.7952,1179.8496,5103.5619,477.6806,0,0,0,0,0,3011300,,,6.376,99.89847716,,3.28438,,
1986Kazakhstan,Kazakhstan,Rest,1986,5.68725,280.1246,280.1246,2632.7557,5097.6737,1075.144,104.7056,395.34,4966.3508,253.2074,189.1395,0,0,0,0,15600928,,,3.135,,,,,
1986Kenya,Kenya,Rest,1986,24.41958333,5.8622,5.8622,128.1426,485.8578,2611.164,2358.3671,2474.3987,1488.7567,0,4914.4224,253.2074,0,0,0,20378626,891.0516907,,6.763,10.43093033,,6.01379,,
1986Kiribati,Kiribati,Rest,1986,27.17175,0.0183,0.0183,0,0,253.2074,6040.3271,173.7125,4264.1638,189.1395,2818.6864,624.1422,350.9378,0,0,65518,2466.547655,,4.871,,,,,
1986Kuwait,Kuwait,Rest,1986,25.4425,41.8992,433.1044,0,2611.164,4728.0602,501.2133,901.4315,619.8132,4708.2219,253.2074,0,0,0,0,1836105,,,4.074,100,,5.40084,,
1986Kyrgyzstan,Kyrgyzstan,Rest,1986,3.805833333,18.0915,18.0915,4743.471,851.2751,3315.5329,0,842.6084,4519.0824,253.2074,189.1395,0,0,0,0,4066500,,,4.1,,,,,
1986Laos,Laos,Rest,1986,23.74466667,0.2088,0.2088,2502.4495,3271.1246,502.3623,549.42,2309.3958,618.1352,0,4772.2898,0,189.1395,0,0,3794043,,,6.342,,,,,
1986Latvia,Latvia,Rest,1986,5.403666667,17.5413,1480.1229,1396.2342,2647.5822,2224.0314,1470.484,4519.0824,769.8477,0,224.4732,0,0,0,0,2599892,19306.60931,,2.12,,,,,5437
1986Lebanon,Lebanon,Rest,1986,18.11191667,7.5107,248.9694,2326.6442,1002.8683,4159.4582,396.5077,1401.4771,4708.2219,477.6806,0,0,0,0,0,2677280,,,3.379,86.57074341,,,,
1986Lesotho,Lesotho,Rest,1986,14.44908333,0.2,222.9952,0,0,128.1426,697.3289,2470.7428,2582.8403,2543.4056,901.4315,5167.6298,0,0,0,1499861,5085.746814,,5.244,,,,,
1986Liberia,Liberia,Rest,1986,25.48033333,0.7291,0.7291,0,714.3161,2684.577,149.7465,4953.3487,3018.2405,1789.7651,1179.8496,224.4732,0,0,0,2201833,2777.925288,,6.82,,,,,
1986Libya,Libya,Rest,1986,22.54233333,24.4762,24.4762,2418.3564,718.3485,657.0615,2369.6931,2374.2446,5698.932,253.2074,224.4732,0,0,0,0,3994591,59386.65105,,6.023,100,,,,
1986Liechtenstein,Liechtenstein,Rest,1986,4.854,,2745.4997,113.3161,277.8891,2369.6931,2619.3714,6259.3685,104.7056,0,0,224.4732,0,0,0,27524,3740.12749,,,,,,,
1986Lithuania,Lithuania,Rest,1986,5.951833333,28.7035,1491.2851,1396.2342,2647.5822,2224.0314,569.0525,5643.3091,547.0525,0,224.4732,0,0,0,0,3578914,3281.898543,,2.12,,,,,
1986Luxembourg,Luxembourg,Rest,1986,9.026,10.2042,2755.7039,113.3161,277.8891,2369.6931,7138.4538,1740.2861,0,104.7056,0,224.4732,0,0,0,368355,1937.753496,,1.43,77.21088435,,3.66077,,
1986Macedonia,Macedonia,Rest,1986,10.66758333,10.9492,1947.9265,1199.7276,0,2803.9594,2012.5603,5989.5664,547.0525,0,224.4732,0,0,0,0,1987538,3014.990477,,2.335,,,,,2120
1986Madagascar,Madagascar,Rest,1986,22.78608333,1.1395,1.1395,222.7952,128.1426,584.0128,579.1013,4398.6584,2732.5451,901.4315,0,4914.4224,253.2074,0,0,10352120,548735.5421,,6.307,,,,,
1986Malawi,Malawi,Rest,1986,21.51466667,0.5533,0.5533,222.7952,128.1426,697.3289,2176.8977,2652.2122,2767.8788,901.4315,4914.4224,253.2074,0,0,0,7625305,,,7.392,,,3.19867,,
1986Malaysia,Malaysia,Rest,1986,26.18683333,37.9365,142.6421,434.2663,2187.9508,3420.8711,241.4587,1019.9787,1948.3162,395.34,0,4772.2898,189.1395,0,0,16045047,3507.277029,,3.759,74.69468725,,7.24336,,
1986Mali,Mali,Rest,1986,28.519,0.3811,0.3811,361.0796,2497.7362,689.8238,0,7718.3818,2042.9725,1075.144,104.7056,224.4732,0,0,0,7955164,,,7.153,,,2.43537,,
1986Malta,Malta,Rest,1986,18.78083333,1.87,716.1861,2144.4997,277.8891,434.2663,4382.2534,5277.2744,1259.3445,0,224.4732,0,0,0,0,342121,36413.14545,,1.93,100,,3.10572,,
1986Mauritania,Mauritania,Rest,1986,27.50008333,0.3774,0.3774,714.3161,2144.4997,317.2821,372.5417,7971.5892,1789.7651,173.7125,1006.1371,0,224.4732,0,0,1819954,1715.929614,,6.206,,,,,
1986Mauritius,Mauritius,Rest,1986,23.688,0.76,0.76,0,222.7952,712.1554,2232.26,2176.8977,4013.4391,189.1395,0,395.34,4519.0824,253.2074,0,1028360,4575.157421,,1.99,58.3143508,,3.469,,
1986Mexico,Mexico,Top20,1986,20.85066667,253.2074,253.2074,4519.0824,395.34,0,189.1395,1948.3162,4068.3081,2076.7937,502.3623,761.7671,0,0,0,78934125,5601.661165,,3.899,75.89927317,,,,221293
1986Moldova,Moldova,Rest,1986,9.17075,25.6358,1962.6131,1199.7276,0,4593.7245,569.0525,5643.3091,547.0525,0,224.4732,0,0,0,0,3602000,462515.3086,,2.646,,,,,4682
1986Mongolia,Mongolia,Rest,1986,-0.2105,13.0125,1802.7776,3444.8371,584.0128,1808.7459,1282.9181,619.8132,4519.0824,476.0026,0,189.1395,0,0,0,1976309,83302.70461,,5.14,100,,,,
1986Montenegro,Montenegro,Rest,1986,10.67075,,2290.2138,846.4911,0,2803.9594,2185.1051,6006.1611,357.913,0,224.4732,0,0,0,0,607711,5524.603771,,2.137,,,,,
1986Morocco,Morocco,Rest,1986,17.79266667,18.615,18.615,2745.4997,113.3161,277.8891,7696.0502,2477.2388,173.7125,901.4315,104.7056,0,224.4732,0,0,23023935,2875.293049,,4.754,91.7181865,,5.25928,,
1986Mozambique,Mozambique,Rest,1986,23.77683333,1.5066,1.5066,222.7952,0,391.2052,1584.6863,3678.6899,2594.1663,1075.144,0,5167.6298,0,0,0,13034385,113633.582,,6.332,44.19354839,,,,
1986Namibia,Namibia,Rest,1986,20.996,,222.7952,0,0,128.1426,1166.5182,2465.4499,2118.9439,2369.6931,6242.7738,0,0,0,0,1193592,,,5.76,,,,,
1986Nepal,Nepal,Rest,1986,14.93291667,0.7876,435.0539,1939.5116,2889.5699,1337.5354,2533.869,222.7952,395.34,4519.0824,253.2074,189.1395,0,0,0,17101136,,,5.431,0.184842884,,,,
1986Netherlands,Netherlands,Rest,1986,9.215083333,142.9562,2888.4559,113.3161,277.8891,2369.6931,7138.4538,1740.2861,0,104.7056,0,224.4732,0,0,0,14572278,244621.7826,,1.55,92.89287948,6.277733107,5.63344,,138700
1986New Zealand,New Zealand,Rest,1986,10.94325,18.3307,18.3307,0,224.4732,0,104.7056,901.4315,2216.685,5365.2834,2765.0331,277.8891,113.3161,2745.4997,0,3246300,23649.13628,,1.96,18.28107503,,3.43025,,
1986Nicaragua,Nicaragua,Rest,1986,26.244,2.1813,2.1813,4772.2898,189.1395,395.34,0,1948.3162,797.1835,2705.8044,1353.0331,2448.5046,104.7056,0,0,3796917,63588.79696,,5.278,52.13746857,,,,
1986Niger,Niger,Rest,1986,27.92066667,0.905,0.905,361.0796,2625.8788,372.5417,623.4058,4159.4582,5167.6298,1179.8496,224.4732,0,0,0,0,7116744,,,7.845,,,,,
1986Nigeria,Nigeria,Rest,1986,27.06725,55.1357,55.1357,0,2205.0477,1154.4524,623.4058,2369.6931,6704.1875,1433.057,224.4732,0,0,0,0,85818502,10646.37239,,6.664,66.28274197,,,,
1986Niue,Niue,Rest,1986,25.28783333,0.0037,0.0037,0,0,224.4732,0,1433.057,6704.1875,2993.0989,222.7952,718.3485,2418.3564,0,0,0,4326.904831,,,,,,,
1986North Korea,North Korea,Rest,1986,6.581833333,131.0491,1206.1931,4159.4582,104.7056,434.2663,1051.7823,2704.7358,4772.2898,0,222.7952,0,189.1395,0,0,19156795,8871.429664,,2.503,48.61660079,,,,
1986Norway,Norway,Rest,1986,-0.042416667,30.9103,2062.0939,827.6322,2519.4396,523.4826,6916.8263,1154.6389,516.6403,0,224.4732,0,0,0,0,4167354,70652.53814,,1.71,0.427244326,,5.53983,,44315
1986Oman,Oman,Rest,1986,26.84666667,7.0704,284.9595,547.5824,797.1835,6107.7744,1402.6448,0,619.8132,4708.2219,253.2074,0,0,0,0,1561185,77566.39269,,8.101,100,,3.79283,,
1986Pakistan,Pakistan,Rest,1986,20.64058333,41.0951,625.1079,128.1426,4708.8782,3489.2454,0,447.2684,395.34,4519.0824,442.3469,0,0,0,0,95264460,,,6.367,44.37453593,1.680409551,2.67813,,
1986Palau,Palau,Rest,1986,27.76908333,,,1006.1371,2187.9508,434.2663,2369.6931,277.8891,944.76,7051.2734,253.2074,0,0,189.1395,0,13985,131671.3917,,,,,,,
1986Panama,Panama,Rest,1986,26.69816667,2.9185,2.9185,253.2074,4708.2219,395.34,0,2309.3958,436.1039,2705.8044,1353.0331,2448.5046,0,104.7056,0,2268574,,,3.336,16.81484345,,3.34574,,
1986Papua New Guinea,Papua New Guinea,Rest,1986,24.87491667,2.0628,2.0628,224.4732,1006.1371,1963.4776,434.2663,2369.6931,277.8891,984.6587,7264.5821,0,189.1395,0,0,3895852,,,5.11,,,,,
1986Paraguay,Paraguay,Rest,1986,24.11475,1.5579,190.6974,0,0,0,4995.085,0,3140.8397,241.4587,374.2197,2803.9594,104.7056,2864.9091,0,3777763,,,4.9,0.352585628,,,,
1986Peru,Peru,Rest,1986,20.1345,21.8963,21.8963,189.1395,253.2074,4519.0824,395.34,0,2968.2949,113.3161,2647.5822,1125.9047,2397.7439,104.7056,0,19996253,2556.710614,,4.249,21.11523015,,,,
1986Philippines,Philippines,Rest,1986,26.79125,28.106,28.106,2969.6147,658.7395,2369.6931,149.7465,241.4587,3140.8397,222.7952,4772.2898,0,0,0,189.1395,55804072,595.9139296,,4.632,44.74587585,,1.72621,,
1986Poland,Poland,Top20,1986,7.459083333,436.1039,2745.4997,113.3161,277.8891,2803.9594,2185.1051,5817.0216,547.0525,0,224.4732,0,0,0,0,37456119,387.2048498,,2.22,98.49773284,,,,96080
1986Portugal,Portugal,Rest,1986,14.73,29.9514,383.1879,2392.2632,113.3161,277.8891,7473.255,2700.034,1075.144,104.7056,0,0,224.4732,0,0,10032734,242833.347,,1.66,55.13356619,,3.04895,,44300
1986Qatar,Qatar,Rest,1986,27.20416667,11.5439,289.433,547.5824,1823.6612,5081.2967,501.2133,901.4315,619.8132,4708.2219,253.2074,0,0,0,0,397932,5869.256111,,4.718,100,,,,
