,,,,,,CO2 (MtCO2) proximity mileage brackets (to top 20),,,,,,,,,,,,,,,,,,,,,
Key,Country,Group,Year,Ave Temperature,CO2 (MtCO2),1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,Population,GDP-USD (M US$ (2010)),Smoking Rate,Fertility Rate,Electricity production from Fossil Fuel,Electricity from Nuclear,Govt spend on education as % of GDP,Forest area (sq km),Passenger Road Transport M per km
1960Ethiopia,Ethiopia,Rest,1960,22.94241667,0.3517,0.3517,27.3591,344.416,1868.4898,1671.6606,33.9286,367.0449,189.5314,2858.0153,54.3774,0,0,0,22151278,545555.4542,,6.88,,,,,
1960Fiji,Fiji,Rest,1960,25.16991667,0.1942,0.1942,0,88.1302,0,266.5193,0,4773.5847,120.4833,168.8665,802.907,1194.3321,0,0,393386,4289.508128,,6.461,,,,,
1960Finland,Finland,Rest,1960,1.775916667,15.092,1028.7632,980.8932,918.9321,1090.1023,3103.1442,54.3774,165.5725,0,88.1302,0,0,0,0,4429634,,,2.72,38.76815805,,,,
1960France,France,Top20,1960,13.02766667,270.9968,1977.7576,16.8068,27.3591,891.573,3948.1176,211.0977,232.5907,21.3904,0,88.1302,0,0,0,46814237,796213.2037,,2.85,45.33233856,0.194513649,,,
1960Gabon,Gabon,Rest,1960,24.53083333,0.1356,0.1356,0,209.8006,1909.981,166.8073,0,1671.6606,3135.8527,320.7209,0,0,0,0,499184,,,4.384,,,,,
1960Georgia,Georgia,Rest,1960,8.76125,9.6346,51.1258,1125.6137,1866.8749,780.0876,245.1289,308.7799,2858.0153,188.8316,0,0,0,0,0,3645600,,,2.942,,,,,
1960Germany,Germany,Top20,1960,8.514166667,814.0675,1977.7576,16.8068,27.3591,891.573,3948.1176,443.6884,21.3904,0,88.1302,0,0,0,0,72814900,4364.317378,,2.37,89.80765485,,,,
1960Ghana,Ghana,Rest,1960,26.82541667,1.4619,1.4619,0,380.2646,1785.841,0,120.4833,4773.5847,33.9286,232.5907,88.1302,0,0,0,6652287,,,6.749,,,,,
1960Greece,Greece,Rest,1960,15.50608333,9.3945,335.0728,1696.2452,0,1012.0563,877.9457,3338.9996,75.7678,0,88.1302,0,0,0,0,8331725,,,2.23,79.69432314,,,,
1960Grenada,Grenada,Rest,1960,27.20891667,0.022,0.022,46.324,2912.3927,189.5314,1778.1539,199.6037,117.3396,916.2574,1133.1616,12.5382,0,109.5206,0,89869,,,6.743,,,,,
1960Guatemala,Guatemala,Rest,1960,23.35583333,1.3447,55.7221,2858.0153,189.5314,46.324,0,1668.8861,308.8715,1140.9705,917.843,208.6135,21.3904,0,0,4210747,,,6.896,,,,,
1960Guinea,Guinea,Rest,1960,25.63466667,0.4104,0.4104,0,380.2646,1761.1566,24.6844,3168.03,945.9504,780.0876,266.5193,88.1302,0,0,0,3577409,,,6.114,,,,,
1960Guyana,Guyana,Rest,1960,26.15833333,0.6595,0.6595,46.324,0,2912.3927,1044.35,1220.7971,19.4815,916.2574,0,1145.6998,88.1302,21.3904,0,571819,,,6.372,,,,,
1960Haiti,Haiti,Rest,1960,26.78158333,0.2858,0.2858,2912.3927,46.324,189.5314,1668.8861,308.8715,908.3798,125.2172,1025.2165,120.4833,88.1302,21.3904,0,3866159,219.0541554,,6.324,,,,,
