,CO2,CO2prox1000,CO2prox2000,CO2prox3000,CO2prox4000,CO2prox5000,CO2prox6000,CO2prox7000,CO2prox8000,CO2prox9000,CO2prox10000,CO2prox11000,CO2prox12000,CO2prox13000,Population,GDP,FertilityRate,ElecFossi,ElecNuclear,ForestArea
55,4.1416,4.1416,0.0,823.4573,2543.4114,764.6805,0.0,4387.7904,5942.8288,1346.3478,0.0,0.0,0.0,0.0,952212,19885.65334,5.421,27.60736196,0.0,220000.0
56,0.1759,0.1759,0.0,2281.9803,1104.5015,180.2292,5544.6351,2772.0448,2180.5838,1480.8491,0.0,263.6924,0.0,0.0,916808,2494.05485,6.107,44.79014864,0.0,4420.0
57,33.6992,353.2937,1885.8749,3685.7329,2180.5838,1331.1099,826.9028,4846.4523,732.2651,0.0,0.0,0.0,0.0,0.0,4802000,1093.685068,2.18,44.79014864,0.0,27520.0
58,959.07,2633.0391,139.3653,346.7531,2207.2066,8021.3267,2047.3938,149.7392,0.0,263.6924,0.0,0.0,0.0,0.0,79433029,7649.634779000001,1.45,68.01752944,27.84040902,113000.0
59,2.8771,2.8771,0.0,767.8760000000001,2798.835,0.0,564.8382,9932.4255,398.1937,1082.6554,263.6924,0.0,0.0,0.0,14628260,7649.634779000001,5.602,94.90726096,0.0,86270.0
60,76.6784,976.3247,2219.5112,0.0,2772.0448,2428.295,6806.8569,418.4696,0.0,263.6924,0.0,0.0,0.0,0.0,10196792,7966.551133,1.39,94.90726096,0.0,32990.0
61,0.1063,0.1063,199.8423,5115.1827,429.4524,2281.9803,351.0588,553.6004,2387.4358,3828.0774,248.4545,0.0,413.4316,0.0,96283,7966.551133,3.842,8.371454712,0.0,169.9
62,4.0454,272.7758,4846.4523,429.4524,199.8423,0.0,1872.7581,760.2810000000001,3429.2273,3023.5026,828.5306,149.7392,0.0,0.0,9263813,466533.1908,5.437,8.371454712,0.0,47480.0
63,1.0039,1.0039,0.0,767.8760000000001,2618.6058,180.2292,5840.7429,2475.937,2180.5838,1480.8491,263.6924,0.0,0.0,0.0,6041094,309821.1377,6.598,20.60301508,0.0,72640.0
64,1.1322,1.1322,199.8423,0.0,5115.1827,1343.1405,1967.0622,305.8892,2387.4358,0.0,4076.5319,263.6924,149.7392,0.0,743309,205513.6329,3.069,20.60301508,0.0,166600.0
65,1.0289,1.0289,5115.1827,199.8423,429.4524,1872.7581,760.2810000000001,2346.5719,594.4643,3511.6937,564.8382,263.6924,149.7392,0.0,7099732,71262.08902999999,5.43,20.60301508,0.0,1160.0
66,2.5061,2.5061,5115.1827,0.0,629.2947,0.0,2281.9803,351.0588,3676.9385,2775.7914,828.5306,149.7392,0.0,0.0,4955328,82615.51453,5.138999999999999,1.7248814140000002,0.0,81360.0
67,67.6366,2285.0067,555.0343,346.7531,2772.0448,2610.0362,6425.2734,618.3119,0.0,263.6924,0.0,0.0,0.0,0.0,10373988,95386.73952,1.87,50.96708398,48.28738219,18010.0
68,1.9586,556.9929,1668.7826,978.0399,7400.411999999999,2449.3142,2095.7904,247.7112,149.7392,0.0,263.6924,0.0,0.0,0.0,254826,1749180.459,2.3,0.133037694,0.0,161.0
69,564.8382,564.8382,2360.813,455.6284,3889.3753,2545.6727,247.7112,0.0,429.4524,4846.4523,468.5727,0.0,0.0,0.0,870133480,17764.12045,4.045,73.41288277,2.097823265,639390.0
70,149.7392,149.7392,0.0,4340.2243,0.0,2553.9597,139.3653,1967.0622,913.6881,429.4524,5115.1827,0.0,199.8423,0.0,181436821,10343.67043,3.122,79.08286650000001,0.0,1185450.0
71,180.2292,346.7531,704.2035,4258.5886,2762.2409,1728.5603,0.0,693.1448,5046.2946,268.7304,0.0,0.0,0.0,0.0,56226185,4682813.745,4.8180000000000005,89.70762411,0.0,90760.6
72,65.6337,551.7521,760.2810000000001,2437.5963,4387.7904,496.1657,1232.3946,5275.9047,732.2651,0.0,0.0,0.0,0.0,0.0,17469005,8689.225176,5.882000000000001,89.16666667,0.0,8040.0
73,30.9234,1903.6815,760.2810000000001,139.3653,2983.4121,5411.2905,3980.2664,247.7112,149.7392,0.0,263.6924,0.0,0.0,0.0,3513974,96294.23276,2.11,95.10155317,0.0,4650.0
74,34.239000000000004,340.1282,1899.5802,1478.5263,4387.7904,247.7112,1910.3015,5046.2946,532.4228,0.0,0.0,0.0,0.0,0.0,4660000,21765.57246,2.824,99.98564456,0.0,1320.0
75,409.2222,2078.0048,694.3996,346.7531,2207.2066,3174.8744,5542.4603,1501.125,0.0,263.6924,0.0,0.0,0.0,0.0,56719240,122.4585692,1.33,83.59958151,0.0,75900.0
76,2.9492,2.9492,0.0,767.8760000000001,2618.6058,180.2292,5411.2905,5085.9732,0.0,1480.8491,263.6924,0.0,0.0,0.0,12267754,4812.459356,6.622000000000001,33.33333333,0.0,102220.0
77,7.4598,7.4598,5115.1827,199.8423,429.4524,913.6881,1719.351,2346.5719,594.4643,3511.6937,564.8382,263.6924,149.7392,0.0,2424242,4812.459356,2.947,92.43287225,0.0,3446.0
78,1082.6554,1331.1099,2180.5838,2356.9458,564.8382,443.9216,2600.5047,5883.0587,0.0,247.7112,0.0,199.8423,0.0,0.0,123537000,1967.420993,1.54,65.56373968,23.18152281,249500.0
79,10.2087,316.0979,1899.5802,1478.5263,4387.7904,247.7112,1480.8491,5475.746999999999,532.4228,0.0,0.0,0.0,0.0,0.0,3560582,11436.22348,5.4879999999999995,99.67014843,0.0,975.0
80,240.7823,240.7823,2526.8011,5544.985,1331.1099,149.7392,429.4524,5357.8559,268.7304,199.8423,0.0,0.0,0.0,0.0,16348000,11436.22348,2.72,91.57005688,0.0,34220.0
81,6.2711,6.2711,166.5239,567.3057,2642.843,2735.6181,2356.9458,1794.6446,0.0,5275.9047,268.7304,0.0,0.0,0.0,23402507,1093.594572,6.066,7.14064915,0.0,47240.0
82,0.022000000000000002,0.022000000000000002,0.0,0.0,268.7304,6622.2525,248.4545,4537.5296,199.8423,2788.6551,728.8167,414.2351,0.0,0.0,72412,858.9568468,4.688,100.0,0.0,121.5
83,29.56,515.6784,0.0,2642.843,4942.8247,645.9049,1082.6554,693.1448,5046.2946,268.7304,0.0,0.0,0.0,0.0,2099615,25172.2814,2.967,100.0,0.0,34.5
84,23.3805,23.3805,5132.8578,905.4025,3514.3749,0.0,940.8560000000001,4846.4523,268.7304,199.8423,0.0,0.0,0.0,0.0,4391200,25172.2814,3.63,36.52428172,0.0,8360.0
85,0.2162,0.2162,3143.6157,3289.862,610.4455,490.4241,2281.9803,677.1636,0.0,5115.1827,0.0,199.8423,0.0,0.0,4258472,25172.2814,6.151,32.37063779,0.0,176449.0
86,19.0642,1329.193,1462.2756,2553.9597,2745.422,1760.5623,4846.4523,866.0231,0.0,263.6924,0.0,0.0,0.0,0.0,2663151,25172.2814,2.02,32.37063779,0.0,31730.0
87,5.957000000000001,311.8462,2258.234,1119.8725,4387.7904,496.1657,1661.8470000000002,5046.2946,532.4228,0.0,0.0,0.0,0.0,0.0,2703016,7693.306831999999,3.002,66.66666667,0.0,1310.0
88,1.4693,249.1805,0.0,0.0,166.5239,884.4327,2427.5863,2999.3105,2455.6611,1082.6554,5544.6351,0.0,0.0,0.0,1603938,5711.154233,4.919,100.0,0.0,400.0
